Date,CPIAUCSL
2017-01-01,243.618
2017-01-02,243.63051612903226
2017-01-03,243.64303225806452
2017-01-04,243.65554838709676
2017-01-05,243.66806451612902
2017-01-06,243.68058064516129
2017-01-07,243.69309677419355
2017-01-08,243.7056129032258
2017-01-09,243.71812903225805
2017-01-10,243.7306451612903
2017-01-11,243.74316129032258
2017-01-12,243.75567741935484
2017-01-13,243.7681935483871
2017-01-14,243.78070967741934
2017-01-15,243.7932258064516
2017-01-16,243.80574193548387
2017-01-17,243.81825806451613
2017-01-18,243.8307741935484
2017-01-19,243.84329032258066
2017-01-20,243.8558064516129
2017-01-21,243.86832258064516
2017-01-22,243.88083870967742
2017-01-23,243.89335483870968
2017-01-24,243.90587096774195
2017-01-25,243.91838709677418
2017-01-26,243.93090322580645
2017-01-27,243.9434193548387
2017-01-28,243.95593548387097
2017-01-29,243.96845161290324
2017-01-30,243.98096774193547
2017-01-31,243.99348387096774
2017-02-01,244.006
2017-02-02,244.00192857142858
2017-02-03,243.99785714285713
2017-02-04,243.9937857142857
2017-02-05,243.98971428571429
2017-02-06,243.98564285714286
2017-02-07,243.98157142857144
2017-02-08,243.9775
2017-02-09,243.97342857142857
2017-02-10,243.96935714285715
2017-02-11,243.9652857142857
2017-02-12,243.96121428571428
2017-02-13,243.95714285714286
2017-02-14,243.95307142857143
2017-02-15,243.949
2017-02-16,243.94492857142856
2017-02-17,243.94085714285714
2017-02-18,243.93678571428572
2017-02-19,243.93271428571427
2017-02-20,243.92864285714285
2017-02-21,243.92457142857143
2017-02-22,243.9205
2017-02-23,243.91642857142858
2017-02-24,243.91235714285713
2017-02-25,243.9082857142857
2017-02-26,243.9042142857143
2017-02-27,243.90014285714284
2017-02-28,243.89607142857142
2017-03-01,243.892
2017-03-02,243.90170967741935
2017-03-03,243.9114193548387
2017-03-04,243.92112903225805
2017-03-05,243.93083870967743
2017-03-06,243.94054838709678
2017-03-07,243.95025806451613
2017-03-08,243.9599677419355
2017-03-09,243.96967741935484
2017-03-10,243.9793870967742
2017-03-11,243.98909677419354
2017-03-12,243.9988064516129
2017-03-13,244.00851612903227
2017-03-14,244.01822580645162
2017-03-15,244.02793548387098
2017-03-16,244.03764516129033
2017-03-17,244.04735483870968
2017-03-18,244.05706451612903
2017-03-19,244.06677419354838
2017-03-20,244.07648387096773
2017-03-21,244.08619354838712
2017-03-22,244.09590322580647
2017-03-23,244.10561290322582
2017-03-24,244.11532258064517
2017-03-25,244.12503225806452
2017-03-26,244.13474193548387
2017-03-27,244.14445161290323
2017-03-28,244.15416129032258
2017-03-29,244.16387096774196
2017-03-30,244.1735806451613
2017-03-31,244.18329032258066
2017-04-01,244.193
2017-04-02,244.1867
2017-04-03,244.18040000000002
2017-04-04,244.1741
2017-04-05,244.1678
2017-04-06,244.16150000000002
2017-04-07,244.1552
2017-04-08,244.1489
2017-04-09,244.14260000000002
2017-04-10,244.1363
2017-04-11,244.13
2017-04-12,244.1237
2017-04-13,244.1174
2017-04-14,244.1111
2017-04-15,244.1048
2017-04-16,244.0985
2017-04-17,244.0922
2017-04-18,244.0859
2017-04-19,244.0796
2017-04-20,244.0733
2017-04-21,244.067
2017-04-22,244.0607
2017-04-23,244.0544
2017-04-24,244.0481
2017-04-25,244.0418
2017-04-26,244.03549999999998
2017-04-27,244.0292
2017-04-28,244.0229
2017-04-29,244.01659999999998
2017-04-30,244.0103
2017-05-01,244.004
2017-05-02,244.00912903225804
2017-05-03,244.01425806451613
2017-05-04,244.01938709677418
2017-05-05,244.02451612903226
2017-05-06,244.02964516129032
2017-05-07,244.03477419354837
2017-05-08,244.03990322580646
2017-05-09,244.0450322580645
2017-05-10,244.05016129032256
2017-05-11,244.05529032258065
2017-05-12,244.0604193548387
2017-05-13,244.06554838709678
2017-05-14,244.07067741935484
2017-05-15,244.0758064516129
2017-05-16,244.08093548387097
2017-05-17,244.08606451612903
2017-05-18,244.0911935483871
2017-05-19,244.09632258064516
2017-05-20,244.10145161290322
2017-05-21,244.1065806451613
2017-05-22,244.11170967741936
2017-05-23,244.11683870967744
2017-05-24,244.1219677419355
2017-05-25,244.12709677419355
2017-05-26,244.13222580645163
2017-05-27,244.13735483870968
2017-05-28,244.14248387096774
2017-05-29,244.14761290322582
2017-05-30,244.15274193548387
2017-05-31,244.15787096774196
2017-06-01,244.163
2017-06-02,244.16566666666668
2017-06-03,244.16833333333335
2017-06-04,244.17100000000002
2017-06-05,244.17366666666666
2017-06-06,244.17633333333333
2017-06-07,244.179
2017-06-08,244.18166666666667
2017-06-09,244.18433333333334
2017-06-10,244.187
2017-06-11,244.18966666666668
2017-06-12,244.19233333333335
2017-06-13,244.195
2017-06-14,244.19766666666666
2017-06-15,244.20033333333333
2017-06-16,244.203
2017-06-17,244.20566666666667
2017-06-18,244.20833333333334
2017-06-19,244.211
2017-06-20,244.21366666666665
2017-06-21,244.21633333333332
2017-06-22,244.219
2017-06-23,244.22166666666666
2017-06-24,244.22433333333333
2017-06-25,244.227
2017-06-26,244.22966666666667
2017-06-27,244.23233333333334
2017-06-28,244.23499999999999
2017-06-29,244.23766666666666
2017-06-30,244.24033333333333
2017-07-01,244.243
2017-07-02,244.27332258064516
2017-07-03,244.30364516129032
2017-07-04,244.33396774193548
2017-07-05,244.36429032258064
2017-07-06,244.3946129032258
2017-07-07,244.42493548387097
2017-07-08,244.45525806451613
2017-07-09,244.4855806451613
2017-07-10,244.51590322580645
2017-07-11,244.54622580645162
2017-07-12,244.57654838709678
2017-07-13,244.60687096774194
2017-07-14,244.6371935483871
