Date,count
2016-12-26,54.0
2016-12-27,490.42857142857144
2016-12-28,926.8571428571429
2016-12-29,1363.2857142857142
2016-12-30,1799.7142857142858
2016-12-31,2236.1428571428573
2017-01-01,2672.5714285714284
2017-01-02,3109.0
2017-01-03,3694.142857142857
2017-01-04,4279.285714285714
2017-01-05,4864.428571428572
2017-01-06,5449.571428571428
2017-01-07,6034.714285714285
2017-01-08,6619.857142857143
2017-01-09,7205.0
2017-01-10,7766.285714285715
2017-01-11,8327.57142857143
2017-01-12,8888.857142857143
2017-01-13,9450.142857142857
2017-01-14,10011.428571428572
2017-01-15,10572.714285714286
2017-01-16,11134.0
2017-01-17,12026.857142857143
2017-01-18,12919.714285714286
2017-01-19,13812.571428571428
2017-01-20,14705.428571428572
2017-01-21,15598.285714285714
2017-01-22,16491.142857142855
2017-01-23,17384.0
2017-01-24,15512.42857142857
2017-01-25,13640.857142857143
2017-01-26,11769.285714285714
2017-01-27,9897.714285714286
2017-01-28,8026.142857142857
2017-01-29,6154.5714285714275
2017-01-30,4283.0
2017-01-31,4461.0
2017-02-01,4639.0
2017-02-02,4817.0
2017-02-03,4995.0
2017-02-04,5173.0
2017-02-05,5351.0
2017-02-06,5529.0
2017-02-07,6007.857142857143
2017-02-08,6486.714285714285
2017-02-09,6965.571428571428
2017-02-10,7444.428571428572
2017-02-11,7923.285714285714
2017-02-12,8402.142857142857
2017-02-13,8881.0
2017-02-14,9420.142857142857
2017-02-15,9959.285714285714
2017-02-16,10498.42857142857
2017-02-17,11037.571428571428
2017-02-18,11576.714285714286
2017-02-19,12115.857142857143
2017-02-20,12655.0
2017-02-21,12747.0
2017-02-22,12839.0
2017-02-23,12931.0
2017-02-24,13023.0
2017-02-25,13115.0
2017-02-26,13207.0
2017-02-27,13299.0
2017-02-28,12454.857142857143
2017-03-01,11610.714285714286
2017-03-02,10766.571428571428
2017-03-03,9922.428571428572
2017-03-04,9078.285714285714
2017-03-05,8234.142857142857
2017-03-06,7390.0
2017-03-07,7677.571428571428
2017-03-08,7965.142857142857
2017-03-09,8252.714285714286
2017-03-10,8540.285714285714
2017-03-11,8827.857142857143
2017-03-12,9115.42857142857
2017-03-13,9403.0
2017-03-14,9643.857142857143
2017-03-15,9884.714285714286
2017-03-16,10125.57142857143
2017-03-17,10366.42857142857
2017-03-18,10607.285714285714
2017-03-19,10848.142857142857
2017-03-20,11089.0
2017-03-21,12234.285714285714
2017-03-22,13379.571428571428
2017-03-23,14524.857142857143
2017-03-24,15670.142857142857
2017-03-25,16815.428571428572
2017-03-26,17960.714285714286
2017-03-27,19106.0
2017-03-28,17028.14285714286
2017-03-29,14950.285714285714
2017-03-30,12872.428571428572
2017-03-31,10794.57142857143
2017-04-01,8716.714285714286
2017-04-02,6638.857142857145
2017-04-03,4561.0
2017-04-04,5076.142857142857
2017-04-05,5591.285714285714
2017-04-06,6106.428571428572
2017-04-07,6621.571428571428
2017-04-08,7136.714285714285
2017-04-09,7651.857142857143
2017-04-10,8167.0
2017-04-11,8353.42857142857
2017-04-12,8539.857142857143
2017-04-13,8726.285714285714
2017-04-14,8912.714285714286
2017-04-15,9099.142857142857
2017-04-16,9285.571428571428
2017-04-17,9472.0
2017-04-18,10421.857142857143
2017-04-19,11371.714285714286
2017-04-20,12321.571428571428
2017-04-21,13271.428571428572
2017-04-22,14221.285714285714
2017-04-23,15171.142857142857
2017-04-24,16121.0
2017-04-25,14377.42857142857
2017-04-26,12633.857142857143
2017-04-27,10890.285714285714
2017-04-28,9146.714285714286
2017-04-29,7403.142857142857
2017-04-30,5659.5714285714275
2017-05-01,3916.0
2017-05-02,4267.0
2017-05-03,4618.0
2017-05-04,4969.0
2017-05-05,5320.0
2017-05-06,5671.0
2017-05-07,6022.0
2017-05-08,6373.0
2017-05-09,6920.428571428572
2017-05-10,7467.857142857143
2017-05-11,8015.285714285714
2017-05-12,8562.714285714286
2017-05-13,9110.142857142857
2017-05-14,9657.571428571428
2017-05-15,10205.0
2017-05-16,10655.57142857143
2017-05-17,11106.142857142857
2017-05-18,11556.714285714286
2017-05-19,12007.285714285714
2017-05-20,12457.857142857143
2017-05-21,12908.428571428572
2017-05-22,13359.0
2017-05-23,13532.0
2017-05-24,13705.0
2017-05-25,13878.0
2017-05-26,14051.0
2017-05-27,14224.0
2017-05-28,14397.0
2017-05-29,14570.0
2017-05-30,13640.285714285714
2017-05-31,12710.57142857143
2017-06-01,11780.857142857143
2017-06-02,10851.142857142857
2017-06-03,9921.428571428572
2017-06-04,8991.714285714286
2017-06-05,8062.0
2017-06-06,8491.857142857143
2017-06-07,8921.714285714286
2017-06-08,9351.571428571428
2017-06-09,9781.42857142857
2017-06-10,10211.285714285714
2017-06-11,10641.142857142857
2017-06-12,11071.0
2017-06-13,12356.285714285714
2017-06-14,13641.571428571428
2017-06-15,14926.857142857143
2017-06-16,16212.142857142857
2017-06-17,17497.428571428572
2017-06-18,18782.714285714286
2017-06-19,20068.0
2017-06-20,18060.285714285714
2017-06-21,16052.571428571428
2017-06-22,14044.857142857143
2017-06-23,12037.142857142857
2017-06-24,10029.42857142857
2017-06-25,8021.714285714286
2017-06-26,6014.0
2017-06-27,5792.428571428572
2017-06-28,5570.857142857143
2017-06-29,5349.285714285714
2017-06-30,5127.714285714285
2017-07-01,4906.142857142857
2017-07-02,4684.571428571428
2017-07-03,4463.0
2017-07-04,5030.0
2017-07-05,5597.0
2017-07-06,6164.0
2017-07-07,6731.0
2017-07-08,7298.0
2017-07-09,7865.0
2017-07-10,8432.0
