Date,count,CPIAUCSL,ron95,ron97,diesel,UNRATE
2017-04-01,8716.714285714286,244.193,2.1385714285714283,2.415714285714286,2.1014285714285714,4.4
2017-04-02,6638.857142857145,244.1867,2.142857142857143,2.4185714285714286,2.097142857142857,4.4
2017-04-03,4561.0,244.1804,2.147142857142857,2.421428571428572,2.092857142857143,4.4
2017-04-04,5076.142857142857,244.1741,2.151428571428572,2.4242857142857144,2.0885714285714285,4.4
2017-04-05,5591.285714285714,244.1678,2.1557142857142857,2.427142857142857,2.0842857142857145,4.4
2017-04-06,6106.428571428572,244.1615,2.16,2.43,2.08,4.4
2017-04-07,6621.571428571428,244.1552,2.171428571428572,2.442857142857143,2.091428571428572,4.4
2017-04-08,7136.714285714285,244.1489,2.182857142857143,2.455714285714286,2.1028571428571428,4.4
2017-04-09,7651.857142857143,244.1426,2.1942857142857144,2.468571428571429,2.1142857142857143,4.4
2017-04-10,8167.0,244.1363,2.205714285714286,2.4814285714285718,2.125714285714286,4.4
2017-04-11,8353.42857142857,244.13,2.217142857142857,2.494285714285714,2.137142857142857,4.4
2017-04-12,8539.857142857143,244.1237,2.2285714285714286,2.507142857142857,2.148571428571429,4.4
2017-04-13,8726.285714285714,244.1174,2.24,2.52,2.16,4.4
2017-04-14,8912.714285714286,244.1111,2.2442857142857147,2.5228571428571427,2.1671428571428573,4.4
2017-04-15,9099.142857142857,244.1048,2.2485714285714287,2.525714285714286,2.1742857142857144,4.4
2017-04-16,9285.571428571428,244.0985,2.252857142857143,2.5285714285714285,2.1814285714285715,4.4
2017-04-17,9472.0,244.0922,2.257142857142857,2.531428571428572,2.1885714285714286,4.4
2017-04-18,10421.857142857143,244.0859,2.261428571428572,2.5342857142857143,2.1957142857142857,4.4
2017-04-19,11371.714285714286,244.0796,2.2657142857142856,2.5371428571428574,2.202857142857143,4.4
2017-04-20,12321.571428571428,244.0733,2.27,2.54,2.21,4.4
2017-04-21,13271.428571428572,244.067,2.261428571428572,2.532857142857143,2.2,4.4
2017-04-22,14221.285714285714,244.0607,2.2528571428571427,2.525714285714286,2.19,4.4
2017-04-23,15171.142857142857,244.0544,2.244285714285714,2.5185714285714287,2.18,4.4
2017-04-24,16121.0,244.0481,2.2357142857142858,2.511428571428572,2.17,4.4
2017-04-25,14377.42857142857,244.0418,2.2271428571428573,2.5042857142857144,2.16,4.4
2017-04-26,12633.857142857143,244.0355,2.2185714285714284,2.4971428571428573,2.15,4.4
2017-04-27,10890.285714285714,244.0292,2.21,2.49,2.14,4.4
2017-04-28,9146.714285714286,244.0229,2.1957142857142857,2.475714285714286,2.131428571428572,4.4
2017-04-29,7403.142857142857,244.0166,2.1814285714285715,2.461428571428572,2.1228571428571428,4.4
2017-04-30,5659.571428571428,244.0103,2.1671428571428573,2.447142857142857,2.1142857142857143,4.4
2017-05-01,3916.0,244.004,2.1528571428571426,2.432857142857143,2.105714285714286,4.4
2017-05-02,4267.0,244.00912903225804,2.1385714285714283,2.4185714285714286,2.0971428571428574,4.396774193548388
2017-05-03,4618.0,244.01425806451613,2.124285714285714,2.4042857142857144,2.0885714285714285,4.393548387096774
2017-05-04,4969.0,244.01938709677415,2.11,2.39,2.08,4.390322580645162
2017-05-05,5320.0,244.02451612903224,2.0957142857142856,2.375714285714286,2.0614285714285714,4.387096774193549
2017-05-06,5671.0,244.02964516129032,2.0814285714285714,2.361428571428572,2.0428571428571427,4.383870967741935
2017-05-07,6022.0,244.0347741935484,2.067142857142857,2.3471428571428574,2.0242857142857145,4.380645161290323
2017-05-08,6373.0,244.03990322580648,2.0528571428571425,2.3328571428571427,2.005714285714286,4.37741935483871
2017-05-09,6920.428571428572,244.0450322580645,2.0385714285714283,2.3185714285714285,1.987142857142857,4.374193548387097
2017-05-10,7467.857142857143,244.05016129032256,2.024285714285714,2.3042857142857143,1.9685714285714284,4.370967741935484
2017-05-11,8015.285714285714,244.05529032258065,2.01,2.29,1.95,4.367741935483871
2017-05-12,8562.714285714286,244.0604193548387,2.02,2.3,1.9557142857142855,4.364516129032258
2017-05-13,9110.142857142857,244.0655483870968,2.03,2.31,1.9614285714285715,4.361290322580645
2017-05-14,9657.571428571428,244.07067741935484,2.04,2.32,1.967142857142857,4.358064516129033
2017-05-15,10205.0,244.0758064516129,2.05,2.33,1.9728571428571429,4.354838709677419
2017-05-16,10655.57142857143,244.08093548387097,2.06,2.34,1.9785714285714289,4.351612903225806
2017-05-17,11106.142857142857,244.08606451612903,2.07,2.35,1.9842857142857144,4.348387096774194
2017-05-18,11556.714285714286,244.0911935483871,2.08,2.36,1.99,4.345161290322581
2017-05-19,12007.285714285714,244.0963225806452,2.085714285714286,2.3657142857142857,1.9957142857142856,4.341935483870968
2017-05-20,12457.857142857143,244.1014516129032,2.091428571428572,2.3714285714285714,2.001428571428572,4.338709677419355
2017-05-21,12908.428571428572,244.1065806451613,2.0971428571428574,2.377142857142857,2.007142857142857,4.335483870967742
2017-05-22,13359.0,244.11170967741936,2.1028571428571428,2.3828571428571426,2.012857142857143,4.332258064516129
2017-05-23,13532.0,244.11683870967744,2.1085714285714285,2.3885714285714283,2.018571428571428,4.329032258064516
2017-05-24,13705.0,244.1219677419355,2.1142857142857143,2.394285714285714,2.024285714285714,4.325806451612904
2017-05-25,13878.0,244.12709677419355,2.12,2.4,2.03,4.32258064516129
2017-05-26,14051.0,244.13222580645163,2.117142857142857,2.397142857142857,2.0285714285714285,4.319354838709677
2017-05-27,14224.0,244.13735483870968,2.1142857142857143,2.394285714285714,2.027142857142857,4.316129032258065
